# t_dist=0.4028487205505371
t,meas_deg,alvo_deg,disturb
0.0000,0.0000,45.0000,0
0.0503,0.4500,45.0000,0
0.1008,0.9000,45.0000,0
0.1513,2.2500,45.0000,0
0.2014,2.2500,45.0000,0
0.2517,4.0500,45.0000,0
0.3022,4.5000,45.0000,0
0.3524,6.7500,45.0000,0
0.4028,7.6500,45.0000,0
0.4532,22.9500,45.0000,1
0.5036,22.9500,45.0000,1
0.5537,23.8500,45.0000,1
0.6044,24.7500,45.0000,1
0.6546,25.6500,45.0000,1
0.7047,26.5500,45.0000,1
0.7552,26.5500,45.0000,1
0.8058,26.5500,45.0000,1
0.8564,29.7000,45.0000,1
0.9065,30.6000,45.0000,1
0.9566,33.3000,45.0000,1
1.0068,35.1000,45.0000,1
1.0571,35.1000,45.0000,1
1.1074,36.0000,45.0000,1
1.1577,36.9000,45.0000,1
1.2082,37.8000,45.0000,1
1.2586,38.2500,45.0000,1
1.3088,38.2500,45.0000,1
1.3590,39.1500,45.0000,1
1.4095,40.0500,45.0000,1
1.4597,40.5000,45.0000,1
1.5099,41.4000,45.0000,1
1.5600,42.3000,45.0000,1
1.6101,42.3000,45.0000,1
1.6603,43.2000,45.0000,1
1.7104,44.5500,45.0000,1
1.7606,44.5500,45.0000,1
1.8112,44.5500,45.0000,1
1.8618,44.5500,45.0000,1
1.9120,44.5500,45.0000,1
1.9624,44.5500,45.0000,1
2.0129,44.5500,45.0000,1
2.0631,44.5500,45.0000,1
2.1133,44.5500,45.0000,1
2.1637,44.5500,45.0000,1
2.2142,44.5500,45.0000,1
2.2648,44.5500,45.0000,1
2.3153,44.5500,45.0000,1
2.3655,44.5500,45.0000,1
2.4160,44.5500,45.0000,1
2.4662,44.5500,45.0000,1
2.5164,44.5500,45.0000,1
2.5667,44.5500,45.0000,1
2.6168,44.5500,45.0000,1
2.6671,44.5500,45.0000,1
2.7172,44.5500,45.0000,1
2.7676,44.5500,45.0000,1
2.8182,44.5500,45.0000,1
2.8687,44.5500,45.0000,1
2.9193,44.5500,45.0000,1
2.9695,44.5500,45.0000,1
3.0198,44.5500,45.0000,1
3.0699,44.5500,45.0000,1
3.1203,44.5500,45.0000,1
3.1710,44.5500,45.0000,1
3.2213,44.5500,45.0000,1
3.2715,44.5500,45.0000,1
3.3217,44.5500,45.0000,1
3.3722,44.5500,45.0000,1
3.4225,44.5500,45.0000,1
3.4729,44.5500,45.0000,1
3.5234,44.5500,45.0000,1
3.5736,44.5500,45.0000,1
3.6241,44.5500,45.0000,1
3.6744,44.5500,45.0000,1
3.7248,44.5500,45.0000,1
3.7751,44.5500,45.0000,1
3.8254,44.5500,45.0000,1
3.8756,44.5500,45.0000,1
3.9260,44.5500,45.0000,1
3.9766,44.5500,45.0000,1
4.0270,44.5500,45.0000,1
4.0776,44.5500,45.0000,1
4.1279,44.5500,45.0000,1
4.1785,44.5500,45.0000,1
4.2290,44.5500,45.0000,1
4.2793,44.5500,45.0000,1
4.3295,44.5500,45.0000,1
4.3796,44.5500,45.0000,1
4.4298,44.5500,45.0000,1
4.4804,44.5500,45.0000,1
4.5306,44.5500,45.0000,1
4.5808,44.5500,45.0000,1
4.6309,44.5500,45.0000,1
4.6814,44.5500,45.0000,1
4.7316,44.5500,45.0000,1
4.7822,44.5500,45.0000,1
4.8323,44.5500,45.0000,1
4.8828,44.5500,45.0000,1
4.9332,44.5500,45.0000,1
4.9836,44.5500,45.0000,1
5.0339,44.5500,45.0000,1
5.0842,44.5500,45.0000,1
5.1344,44.5500,45.0000,1
5.1848,44.5500,45.0000,1
5.2351,44.5500,45.0000,1
5.2855,44.5500,45.0000,1
5.3360,44.5500,45.0000,1
5.3864,44.5500,45.0000,1
5.4371,44.5500,45.0000,1
5.4872,44.5500,45.0000,1
5.5375,44.5500,45.0000,1
5.5878,44.5500,45.0000,1
5.6382,44.5500,45.0000,1
5.6884,44.5500,45.0000,1
5.7390,44.5500,45.0000,1
5.7895,44.5500,45.0000,1
5.8400,44.5500,45.0000,1
5.8904,44.5500,45.0000,1
5.9410,44.5500,45.0000,1
5.9915,44.5500,45.0000,1
6.0420,44.5500,45.0000,1
6.0921,44.5500,45.0000,1
6.1423,44.5500,45.0000,1
6.1927,44.5500,45.0000,1
6.2433,44.5500,45.0000,1
6.2938,44.5500,45.0000,1
6.3440,44.5500,45.0000,1
6.3943,44.5500,45.0000,1
6.4447,44.5500,45.0000,1
6.4953,44.5500,45.0000,1
6.5454,44.5500,45.0000,1
6.5957,44.5500,45.0000,1
6.6458,44.5500,45.0000,1
6.6964,44.5500,45.0000,1
6.7485,44.5500,45.0000,1
6.8002,44.5500,45.0000,1
6.8529,44.5500,45.0000,1
6.9055,44.5500,45.0000,1
6.9641,44.5500,45.0000,1
7.0156,44.5500,45.0000,1
7.0669,44.5500,45.0000,1
7.1177,44.5500,45.0000,1
7.1679,44.5500,45.0000,1
7.2182,44.5500,45.0000,1
7.2687,44.5500,45.0000,1
7.3190,44.5500,45.0000,1
7.3696,44.5500,45.0000,1
7.4198,44.5500,45.0000,1
7.4699,44.5500,45.0000,1
7.5205,44.5500,45.0000,1
7.5710,44.5500,45.0000,1
7.6214,44.5500,45.0000,1
7.6718,44.5500,45.0000,1
7.7224,44.5500,45.0000,1
7.7726,44.5500,45.0000,1
7.8230,44.5500,45.0000,1
7.8735,44.5500,45.0000,1
7.9239,44.5500,45.0000,1
7.9741,44.5500,45.0000,1
