ciclo,periodo_us,jitter_abs_us
1,76.000,4924.000
2,121.000,4879.000
3,199.000,4801.000
4,13009.000,8009.000
5,71.000,4929.000
6,131.000,4869.000
7,14364.000,9364.000
8,276.000,4724.000
9,48.000,4952.000
10,29637.000,24637.000
11,64.000,4936.000
12,36.000,4964.000
13,35.000,4965.000
14,32.000,4968.000
15,32.000,4968.000
16,29366.000,24366.000
17,438.000,4562.000
18,47.000,4953.000
19,15087.000,10087.000
20,87.000,4913.000
21,35.000,4965.000
22,30.000,4970.000
23,33.000,4967.000
24,37.000,4963.000
25,16032.000,11032.000
26,503.000,4497.000
27,122.000,4878.000
28,33669.000,28669.000
29,91.000,4909.000
30,37.000,4963.000
31,35.000,4965.000
32,31.000,4969.000
33,42.000,4958.000
34,36.000,4964.000
35,26316.000,21316.000
36,476.000,4524.000
37,64.000,4936.000
38,54.000,4946.000
39,46.000,4954.000
40,21426.000,16426.000
41,56.000,4944.000
42,32.000,4968.000
43,29.000,4971.000
44,30.000,4970.000
45,13855.000,8855.000
46,48.000,4952.000
47,11441.000,6441.000
48,77.000,4923.000
49,42.000,4958.000
50,14339.000,9339.000
51,3766.000,1234.000
52,50.000,4950.000
53,13517.000,8517.000
54,74.000,4926.000
55,41.000,4959.000
56,29913.000,24913.000
57,63.000,4937.000
58,38.000,4962.000
59,33.000,4967.000
60,31.000,4969.000
61,33.000,4967.000
62,31422.000,26422.000
63,66.000,4934.000
64,139.000,4861.000
65,44.000,4956.000
66,292.000,4708.000
67,52.000,4948.000
68,40.000,4960.000
69,15388.000,10388.000
70,64.000,4936.000
71,37.000,4963.000
72,27717.000,22717.000
73,467.000,4533.000
74,48.000,4952.000
75,38.000,4962.000
76,36.000,4964.000
77,14672.000,9672.000
78,87.000,4913.000
79,42.000,4958.000
80,16780.000,11780.000
81,65.000,4935.000
82,41.000,4959.000
83,43.000,4957.000
84,29886.000,24886.000
85,68.000,4932.000
86,38.000,4962.000
87,31.000,4969.000
88,22.000,4978.000
89,38.000,4962.000
90,30710.000,25710.000
91,76.000,4924.000
92,41.000,4959.000
93,56.000,4944.000
94,47.000,4953.000
95,155.000,4845.000
96,36445.000,31445.000
97,75.000,4925.000
98,46.000,4954.000
99,9371.000,4371.000
100,730.000,4270.000
101,60.000,4940.000
102,65.000,4935.000
103,36.000,4964.000
104,30.000,4970.000
105,15924.000,10924.000
106,76.000,4924.000
107,43.000,4957.000
108,47.000,4953.000
109,31327.000,26327.000
110,59.000,4941.000
111,42.000,4958.000
112,32.000,4968.000
113,31.000,4969.000
114,30.000,4970.000
115,36460.000,31460.000
116,179.000,4821.000
117,234.000,4766.000
118,262.000,4738.000
119,36.000,4964.000
120,30.000,4970.000
121,29.000,4971.000
122,25199.000,20199.000
123,58.000,4942.000
124,39.000,4961.000
125,34.000,4966.000
126,23.000,4977.000
127,14401.000,9401.000
128,94.000,4906.000
129,49.000,4951.000
130,30273.000,25273.000
131,73.000,4927.000
132,40.000,4960.000
133,31.000,4969.000
134,40.000,4960.000
135,38.000,4962.000
136,30845.000,25845.000
137,81.000,4919.000
138,38.000,4962.000
139,143.000,4857.000
140,16003.000,11003.000
141,111.000,4889.000
142,56.000,4944.000
143,40.000,4960.000
144,36.000,4964.000
145,35.000,4965.000
146,32060.000,27060.000
147,50.000,4950.000
148,34.000,4966.000
149,32.000,4968.000
150,31.000,4969.000
151,32.000,4968.000
152,12873.000,7873.000
153,65.000,4935.000
154,47.000,4953.000
155,14624.000,9624.000
156,83.000,4917.000
157,45.000,4955.000
158,31058.000,26058.000
159,89.000,4911.000
160,47.000,4953.000
161,39.000,4961.000
162,36.000,4964.000
163,35.000,4965.000
164,16562.000,11562.000
165,83.000,4917.000
166,44.000,4956.000
167,30130.000,25130.000
168,74.000,4926.000
169,37.000,4963.000
170,30.000,4970.000
171,30.000,4970.000
172,33.000,4967.000
173,31.000,4969.000
174,30915.000,25915.000
175,94.000,4906.000
176,59.000,4941.000
177,40.000,4960.000
178,36.000,4964.000
179,35.000,4965.000
180,16873.000,11873.000
181,68.000,4932.000
182,35.000,4965.000
183,31021.000,26021.000
184,65.000,4935.000
185,35.000,4965.000
186,42.000,4958.000
187,99.000,4901.000
188,56.000,4944.000
189,31023.000,26023.000
190,70.000,4930.000
191,47.000,4953.000
192,42.000,4958.000
193,37.000,4963.000
194,34.000,4966.000
195,35.000,4965.000
196,39428.000,34428.000
197,476.000,4524.000
198,44.000,4956.000
199,33.000,4967.000
200,102.000,4898.000
201,38.000,4962.000
202,46.000,4954.000
203,35.000,4965.000
204,4040.000,960.000
205,21688.000,16688.000
206,117.000,4883.000
207,37.000,4963.000
208,33.000,4967.000
209,29566.000,24566.000
210,71.000,4929.000
211,41.000,4959.000
212,427.000,4573.000
213,47.000,4953.000
214,38.000,4962.000
215,30043.000,25043.000
216,99.000,4901.000
217,60.000,4940.000
218,37.000,4963.000
219,104.000,4896.000
220,101.000,4899.000
221,8373.000,3373.000
222,121.000,4879.000
223,32419.000,27419.000
224,80.000,4920.000
225,40.000,4960.000
226,32.000,4968.000
227,31.000,4969.000
228,35.000,4965.000
229,34198.000,29198.000
230,163.000,4837.000
231,39.000,4961.000
232,64.000,4936.000
233,76.000,4924.000
234,35.000,4965.000
235,33.000,4967.000
236,37320.000,32320.000
237,79.000,4921.000
238,39.000,4961.000
239,30.000,4970.000
240,29.000,4971.000
241,38.000,4962.000
242,53.000,4947.000
243,45.000,4955.000
244,20907.000,15907.000
245,77.000,4923.000
246,42.000,4958.000
247,40.000,4960.000
248,12353.000,7353.000
249,88.000,4912.000
250,14685.000,9685.000
251,69.000,4931.000
252,36.000,4964.000
253,16907.000,11907.000
254,61.000,4939.000
255,32.000,4968.000
256,37.000,4963.000
257,16457.000,11457.000
258,146.000,4854.000
259,32.000,4968.000
260,28612.000,23612.000
261,8119.000,3119.000
262,48.000,4952.000
263,35.000,4965.000
264,38.000,4962.000
265,39.000,4961.000
266,6057.000,1057.000
267,226.000,4774.000
268,90.000,4910.000
269,29735.000,24735.000
270,244.000,4756.000
271,61.000,4939.000
272,41.000,4959.000
273,36.000,4964.000
274,36.000,4964.000
275,15283.000,10283.000
276,135.000,4865.000
277,43.000,4957.000
278,29734.000,24734.000
279,75.000,4925.000
280,47.000,4953.000
281,43.000,4957.000
282,18009.000,13009.000
283,68.000,4932.000
284,43.000,4957.000
285,39.000,4961.000
286,39.000,4961.000
287,26882.000,21882.000
288,99.000,4901.000
289,53.000,4947.000
290,36.000,4964.000
291,37.000,4963.000
292,39.000,4961.000
293,16970.000,11970.000
294,74.000,4926.000
295,34.000,4966.000
296,31839.000,26839.000
297,93.000,4907.000
298,45.000,4955.000
299,1069.000,3931.000
300,37.000,4963.000
301,33.000,4967.000
302,33.000,4967.000
303,27279.000,22279.000
304,81.000,4919.000
305,52.000,4948.000
306,82.000,4918.000
307,47.000,4953.000
308,20666.000,15666.000
309,91.000,4909.000
310,57.000,4943.000
311,41.000,4959.000
312,39.000,4961.000
313,31265.000,26265.000
314,1730.000,3270.000
315,69.000,4931.000
316,39.000,4961.000
317,33.000,4967.000
318,32.000,4968.000
319,23961.000,18961.000
320,74.000,4926.000
321,43.000,4957.000
322,16256.000,11256.000
323,95.000,4905.000
324,50.000,4950.000
325,123.000,4877.000
326,39.000,4961.000
327,38275.000,33275.000
328,58.000,4942.000
329,34.000,4966.000
330,2909.000,2091.000
331,58.000,4942.000
332,38.000,4962.000
333,32.000,4968.000
334,33.000,4967.000
335,35.000,4965.000
336,34210.000,29210.000
337,133.000,4867.000
338,71.000,4929.000
339,44.000,4956.000
340,33.000,4967.000
341,32.000,4968.000
342,31.000,4969.000
343,13343.000,8343.000
344,66.000,4934.000
345,12745.000,7745.000
346,82.000,4918.000
347,77.000,4923.000
348,31348.000,26348.000
349,78.000,4922.000
350,42.000,4958.000
351,30.000,4970.000
352,31.000,4969.000
353,46.000,4954.000
354,13343.000,8343.000
355,101.000,4899.000
356,44.000,4956.000
357,32121.000,27121.000
358,103.000,4897.000
359,45.000,4955.000
360,11554.000,6554.000
361,64.000,4936.000
362,35.000,4965.000
363,32.000,4968.000
364,42.000,4958.000
365,39.000,4961.000
366,15258.000,10258.000
367,69.000,4931.000
368,42.000,4958.000
369,15952.000,10952.000
370,117.000,4883.000
371,41.000,4959.000
372,30246.000,25246.000
373,67.000,4933.000
374,31.000,4969.000
375,81.000,4919.000
376,321.000,4679.000
377,42.000,4958.000
378,30182.000,25182.000
379,72.000,4928.000
380,43.000,4957.000
381,39.000,4961.000
382,38.000,4962.000
383,38.000,4962.000
384,15789.000,10789.000
385,60.000,4940.000
386,36.000,4964.000
387,13935.000,8935.000
388,68.000,4932.000
389,35.000,4965.000
390,19296.000,14296.000
391,72.000,4928.000
392,49.000,4951.000
393,36.000,4964.000
394,12089.000,7089.000
395,101.000,4899.000
396,105.000,4895.000
397,34947.000,29947.000
398,82.000,4918.000
399,49.000,4951.000
400,38.000,4962.000
401,34.000,4966.000
402,32.000,4968.000
403,33083.000,28083.000
404,160.000,4840.000
405,34.000,4966.000
406,33.000,4967.000
407,31.000,4969.000
408,30.000,4970.000
409,30.000,4970.000
410,11955.000,6955.000
411,218.000,4782.000
412,149.000,4851.000
413,30633.000,25633.000
414,101.000,4899.000
415,50.000,4950.000
416,42.000,4958.000
417,39.000,4961.000
418,42.000,4958.000
419,32955.000,27955.000
420,72.000,4928.000
421,45.000,4955.000
422,44.000,4956.000
423,34.000,4966.000
424,32.000,4968.000
425,31.000,4969.000
426,7648.000,2648.000
427,16249.000,11249.000
428,90.000,4910.000
429,41.000,4959.000
430,16059.000,11059.000
431,89.000,4911.000
432,45.000,4955.000
433,37.000,4963.000
434,29760.000,24760.000
435,79.000,4921.000
436,70.000,4930.000
437,65.000,4935.000
438,37.000,4963.000
439,33.000,4967.000
440,26320.000,21320.000
441,75.000,4925.000
442,44.000,4956.000
443,55.000,4945.000
444,144.000,4856.000
445,18994.000,13994.000
446,81.000,4919.000
447,58.000,4942.000
448,40.000,4960.000
449,15955.000,10955.000
450,277.000,4723.000
451,40.000,4960.000
452,31654.000,26654.000
453,82.000,4918.000
454,38.000,4962.000
455,53.000,4947.000
456,355.000,4645.000
457,36.000,4964.000
458,28077.000,23077.000
459,83.000,4917.000
460,42.000,4958.000
461,41.000,4959.000
462,34.000,4966.000
463,31.000,4969.000
464,31845.000,26845.000
465,79.000,4921.000
466,42.000,4958.000
467,31.000,4969.000
468,31.000,4969.000
469,29.000,4971.000
470,31.000,4969.000
471,29211.000,24211.000
472,1412.000,3588.000
473,44.000,4956.000
474,33.000,4967.000
475,32.000,4968.000
476,43.000,4957.000
477,28516.000,23516.000
478,335.000,4665.000
479,62.000,4938.000
480,56.000,4944.000
481,65.000,4935.000
482,31.000,4969.000
483,28724.000,23724.000
484,78.000,4922.000
485,52.000,4948.000
486,44.000,4956.000
487,40.000,4960.000
488,15935.000,10935.000
489,86.000,4914.000
490,45.000,4955.000
491,29.000,4971.000
492,16889.000,11889.000
493,84.000,4916.000
494,36.000,4964.000
495,30395.000,25395.000
496,79.000,4921.000
497,42.000,4958.000
498,38.000,4962.000
499,36.000,4964.000
500,34.000,4966.000
501,32537.000,27537.000
502,74.000,4926.000
503,39.000,4961.000
504,32.000,4968.000
505,30.000,4970.000
506,29.000,4971.000
507,36.000,4964.000
508,30342.000,25342.000
509,72.000,4928.000
510,54.000,4946.000
511,237.000,4763.000
512,40.000,4960.000
513,39.000,4961.000
514,36055.000,31055.000
515,91.000,4909.000
516,63.000,4937.000
517,39.000,4961.000
518,5880.000,880.000
519,132.000,4868.000
520,148.000,4852.000
521,35886.000,30886.000
522,126.000,4874.000
523,92.000,4908.000
524,45.000,4955.000
525,40.000,4960.000
526,31.000,4969.000
527,32.000,4968.000
528,102.000,4898.000
529,49615.000,44615.000
530,100.000,4900.000
531,85.000,4915.000
532,42.000,4958.000
533,34.000,4966.000
534,31.000,4969.000
535,34.000,4966.000
536,31.000,4969.000
537,210.000,4790.000
538,52.000,4948.000
539,11765.000,6765.000
540,92.000,4908.000
541,45.000,4955.000
542,13874.000,8874.000
543,66.000,4934.000
544,42.000,4958.000
545,37514.000,32514.000
546,57.000,4943.000
547,31.000,4969.000
548,185.000,4815.000
549,41.000,4959.000
550,31.000,4969.000
551,29.000,4971.000
552,32953.000,27953.000
553,219.000,4781.000
554,52.000,4948.000
555,65.000,4935.000
556,46.000,4954.000
557,33.000,4967.000
558,31.000,4969.000
559,15573.000,10573.000
560,223.000,4777.000
561,36.000,4964.000
562,30573.000,25573.000
563,90.000,4910.000
564,50.000,4950.000
565,38.000,4962.000
566,33.000,4967.000
567,30.000,4970.000
568,28649.000,23649.000
569,380.000,4620.000
570,143.000,4857.000
571,42.000,4958.000
572,19312.000,14312.000
573,61.000,4939.000
574,33.000,4967.000
575,32.000,4968.000
576,32.000,4968.000
577,31.000,4969.000
578,31533.000,26533.000
579,91.000,4909.000
580,47.000,4953.000
581,38.000,4962.000
582,82.000,4918.000
583,39.000,4961.000
584,31336.000,26336.000
585,65.000,4935.000
586,34.000,4966.000
587,33.000,4967.000
588,33.000,4967.000
589,31.000,4969.000
590,32.000,4968.000
591,30394.000,25394.000
592,74.000,4926.000
593,43.000,4957.000
594,35.000,4965.000
595,33.000,4967.000
596,38269.000,33269.000
597,152.000,4848.000
598,50.000,4950.000
599,36.000,4964.000
