ciclo,periodo_us,jitter_abs_us
1,71.000,4929.000
2,44.000,4956.000
3,16810.000,11810.000
4,149.000,4851.000
5,40.000,4960.000
6,12604.000,7604.000
7,100.000,4900.000
8,63.000,4937.000
9,31290.000,26290.000
10,452.000,4548.000
11,53.000,4947.000
12,42.000,4958.000
13,377.000,4623.000
14,44.000,4956.000
15,15033.000,10033.000
16,76.000,4924.000
17,43.000,4957.000
18,29825.000,24825.000
19,77.000,4923.000
20,53.000,4947.000
21,51.000,4949.000
22,58.000,4942.000
23,44.000,4956.000
24,15029.000,10029.000
25,157.000,4843.000
26,130.000,4870.000
27,14629.000,9629.000
28,419.000,4581.000
29,41.000,4959.000
30,14702.000,9702.000
31,80.000,4920.000
32,44.000,4956.000
33,15312.000,10312.000
34,317.000,4683.000
35,47.000,4953.000
36,37.000,4963.000
37,16903.000,11903.000
38,167.000,4833.000
39,45.000,4955.000
40,29099.000,24099.000
41,130.000,4870.000
42,74.000,4926.000
43,39.000,4961.000
44,33.000,4967.000
45,31.000,4969.000
46,15917.000,10917.000
47,58.000,4942.000
48,34.000,4966.000
49,14473.000,9473.000
50,70.000,4930.000
51,48.000,4952.000
52,33315.000,28315.000
53,274.000,4726.000
54,53.000,4947.000
55,42.000,4958.000
56,34.000,4966.000
57,37.000,4963.000
58,52.000,4948.000
59,28360.000,23360.000
60,94.000,4906.000
61,44.000,4956.000
62,78.000,4922.000
63,34.000,4966.000
64,27239.000,22239.000
65,1907.000,3093.000
66,183.000,4817.000
67,40.000,4960.000
68,38.000,4962.000
69,32.000,4968.000
70,22159.000,17159.000
71,50.000,4950.000
72,40.000,4960.000
73,41.000,4959.000
74,29.000,4971.000
75,10224.000,5224.000
76,59.000,4941.000
77,31472.000,26472.000
78,6475.000,1475.000
79,870.000,4130.000
80,110.000,4890.000
81,63.000,4937.000
82,61.000,4939.000
83,9740.000,4740.000
84,125.000,4875.000
85,70.000,4930.000
86,12151.000,7151.000
87,287.000,4713.000
88,226.000,4774.000
89,22987.000,17987.000
90,129.000,4871.000
91,86.000,4914.000
92,9421.000,4421.000
93,128.000,4872.000
94,217.000,4783.000
95,14613.000,9613.000
96,129.000,4871.000
97,95.000,4905.000
98,27151.000,22151.000
99,150.000,4850.000
100,67.000,4933.000
101,57.000,4943.000
102,61.000,4939.000
103,56.000,4944.000
104,14757.000,9757.000
105,150.000,4850.000
106,89.000,4911.000
107,34219.000,29219.000
108,158.000,4842.000
109,81.000,4919.000
110,90.000,4910.000
111,76.000,4924.000
112,65.000,4935.000
113,14039.000,9039.000
114,508.000,4492.000
115,85.000,4915.000
116,167.000,4833.000
117,12831.000,7831.000
118,139.000,4861.000
119,77.000,4923.000
120,31246.000,26246.000
121,147.000,4853.000
122,94.000,4906.000
123,79.000,4921.000
124,73.000,4927.000
125,61.000,4939.000
126,29241.000,24241.000
127,169.000,4831.000
128,875.000,4125.000
129,2163.000,2837.000
130,597.000,4403.000
131,371.000,4629.000
132,10887.000,5887.000
133,346.000,4654.000
134,106.000,4894.000
135,31084.000,26084.000
136,292.000,4708.000
137,70.000,4930.000
138,75.000,4925.000
139,56.000,4944.000
140,54.000,4946.000
141,14401.000,9401.000
142,102.000,4898.000
143,59.000,4941.000
144,18840.000,13840.000
145,116.000,4884.000
146,62.000,4938.000
147,56.000,4944.000
148,9307.000,4307.000
149,127.000,4873.000
150,6703.000,1703.000
151,12377.000,7377.000
152,151.000,4849.000
153,74.000,4926.000
154,31742.000,26742.000
155,197.000,4803.000
156,79.000,4921.000
157,61.000,4939.000
158,78.000,4922.000
159,87.000,4913.000
160,17069.000,12069.000
161,110.000,4890.000
162,60.000,4940.000
163,58.000,4942.000
164,24393.000,19393.000
165,189.000,4811.000
166,67.000,4933.000
167,59.000,4941.000
168,71.000,4929.000
169,24910.000,19910.000
170,595.000,4405.000
171,105.000,4895.000
172,68.000,4932.000
173,63.000,4937.000
174,8382.000,3382.000
175,113.000,4887.000
176,33779.000,28779.000
177,146.000,4854.000
178,328.000,4672.000
179,299.000,4701.000
180,83.000,4917.000
181,179.000,4821.000
182,14280.000,9280.000
183,111.000,4889.000
184,65.000,4935.000
185,15239.000,10239.000
186,111.000,4889.000
187,56.000,4944.000
188,27356.000,22356.000
189,144.000,4856.000
190,90.000,4910.000
191,16235.000,11235.000
192,164.000,4836.000
193,101.000,4899.000
194,109.000,4891.000
195,103.000,4897.000
196,57.000,4943.000
197,13201.000,8201.000
198,257.000,4743.000
199,94.000,4906.000
200,44603.000,39603.000
201,138.000,4862.000
202,84.000,4916.000
203,69.000,4931.000
204,61.000,4939.000
205,56.000,4944.000
206,74.000,4926.000
207,67.000,4933.000
208,87.000,4913.000
209,16427.000,11427.000
210,333.000,4667.000
211,138.000,4862.000
212,12655.000,7655.000
213,142.000,4858.000
214,81.000,4919.000
215,17444.000,12444.000
216,107.000,4893.000
217,72.000,4928.000
218,26139.000,21139.000
219,137.000,4863.000
220,155.000,4845.000
221,69.000,4931.000
222,15151.000,10151.000
223,186.000,4814.000
224,76.000,4924.000
225,63.000,4937.000
226,60.000,4940.000
227,15597.000,10597.000
228,215.000,4785.000
229,86.000,4914.000
230,14301.000,9301.000
231,131.000,4869.000
232,68.000,4932.000
233,17328.000,12328.000
234,127.000,4873.000
235,73.000,4927.000
236,62.000,4938.000
237,29581.000,24581.000
238,166.000,4834.000
239,101.000,4899.000
240,82.000,4918.000
241,69.000,4931.000
242,14143.000,9143.000
243,131.000,4869.000
244,74.000,4926.000
245,29126.000,24126.000
246,123.000,4877.000
247,88.000,4912.000
248,36396.000,31396.000
249,460.000,4540.000
250,234.000,4766.000
251,205.000,4795.000
252,184.000,4816.000
253,330.000,4670.000
254,140.000,4860.000
255,182.000,4818.000
256,325.000,4675.000
257,215.000,4785.000
258,7724.000,2724.000
259,183.000,4817.000
260,87.000,4913.000
261,29352.000,24352.000
262,222.000,4778.000
263,106.000,4894.000
264,90.000,4910.000
265,83.000,4917.000
266,193.000,4807.000
267,33101.000,28101.000
268,175.000,4825.000
269,141.000,4859.000
270,2041.000,2959.000
271,1144.000,3856.000
272,1124.000,3876.000
273,97.000,4903.000
274,8319.000,3319.000
275,127.000,4873.000
276,15010.000,10010.000
277,144.000,4856.000
278,149.000,4851.000
279,14240.000,9240.000
280,169.000,4831.000
281,159.000,4841.000
282,14352.000,9352.000
283,185.000,4815.000
284,82.000,4918.000
285,15037.000,10037.000
286,130.000,4870.000
287,100.000,4900.000
288,30411.000,25411.000
289,182.000,4818.000
290,139.000,4861.000
291,90.000,4910.000
292,83.000,4917.000
293,80.000,4920.000
294,30753.000,25753.000
295,207.000,4793.000
296,99.000,4901.000
297,86.000,4914.000
298,86.000,4914.000
299,90.000,4910.000
300,15458.000,10458.000
301,141.000,4859.000
302,88.000,4912.000
303,15590.000,10590.000
304,173.000,4827.000
305,92.000,4908.000
306,181.000,4819.000
307,22459.000,17459.000
308,130.000,4870.000
309,80.000,4920.000
310,75.000,4925.000
311,7717.000,2717.000
312,148.000,4852.000
313,15817.000,10817.000
314,131.000,4869.000
315,85.000,4915.000
316,13960.000,8960.000
317,161.000,4839.000
318,85.000,4915.000
319,15423.000,10423.000
320,185.000,4815.000
321,87.000,4913.000
322,30762.000,25762.000
323,211.000,4789.000
324,120.000,4880.000
325,82.000,4918.000
326,79.000,4921.000
327,77.000,4923.000
328,14064.000,9064.000
329,155.000,4845.000
330,114.000,4886.000
331,17250.000,12250.000
332,137.000,4863.000
333,75.000,4925.000
334,65.000,4935.000
335,13089.000,8089.000
336,296.000,4704.000
337,14335.000,9335.000
338,134.000,4866.000
339,83.000,4917.000
340,16351.000,11351.000
341,150.000,4850.000
342,94.000,4906.000
343,81.000,4919.000
344,31764.000,26764.000
345,157.000,4843.000
346,103.000,4897.000
347,572.000,4428.000
348,106.000,4894.000
349,73.000,4927.000
350,22717.000,17717.000
351,125.000,4875.000
352,362.000,4638.000
353,4751.000,249.000
354,196.000,4804.000
355,87.000,4913.000
356,14044.000,9044.000
357,193.000,4807.000
358,83.000,4917.000
359,29636.000,24636.000
360,173.000,4827.000
361,89.000,4911.000
362,79.000,4921.000
363,75.000,4925.000
364,86.000,4914.000
365,23135.000,18135.000
366,127.000,4873.000
367,92.000,4908.000
368,25740.000,20740.000
369,139.000,4861.000
370,81.000,4919.000
371,86.000,4914.000
372,84.000,4916.000
373,80.000,4920.000
374,1131.000,3869.000
375,28572.000,23572.000
376,147.000,4853.000
377,98.000,4902.000
378,86.000,4914.000
379,85.000,4915.000
380,133.000,4867.000
381,31090.000,26090.000
382,138.000,4862.000
383,102.000,4898.000
384,89.000,4911.000
385,90.000,4910.000
386,91.000,4909.000
387,13295.000,8295.000
388,168.000,4832.000
389,127.000,4873.000
390,28511.000,23511.000
391,172.000,4828.000
392,135.000,4865.000
393,84.000,4916.000
394,75.000,4925.000
395,13636.000,8636.000
396,169.000,4831.000
397,98.000,4902.000
398,15111.000,10111.000
399,180.000,4820.000
400,162.000,4838.000
401,30683.000,25683.000
402,247.000,4753.000
403,89.000,4911.000
404,77.000,4923.000
405,75.000,4925.000
406,74.000,4926.000
407,16235.000,11235.000
408,283.000,4717.000
409,121.000,4879.000
410,89.000,4911.000
411,18477.000,13477.000
412,163.000,4837.000
413,230.000,4770.000
414,83.000,4917.000
415,25063.000,20063.000
416,235.000,4765.000
417,478.000,4522.000
418,222.000,4778.000
419,1495.000,3505.000
420,28444.000,23444.000
421,261.000,4739.000
422,102.000,4898.000
423,85.000,4915.000
424,81.000,4919.000
425,80.000,4920.000
426,29343.000,24343.000
427,146.000,4854.000
428,80.000,4920.000
429,17479.000,12479.000
430,134.000,4866.000
431,76.000,4924.000
432,91.000,4909.000
433,72.000,4928.000
434,59.000,4941.000
435,14473.000,9473.000
436,131.000,4869.000
437,80.000,4920.000
438,13316.000,8316.000
439,176.000,4824.000
440,90.000,4910.000
441,18018.000,13018.000
442,156.000,4844.000
443,88.000,4912.000
444,29620.000,24620.000
445,181.000,4819.000
446,104.000,4896.000
447,93.000,4907.000
448,92.000,4908.000
449,90.000,4910.000
450,104.000,4896.000
451,14219.000,9219.000
452,14383.000,9383.000
453,108.000,4892.000
454,16295.000,11295.000
455,147.000,4853.000
456,95.000,4905.000
457,212.000,4788.000
458,210.000,4790.000
459,96.000,4904.000
460,28891.000,23891.000
461,158.000,4842.000
462,85.000,4915.000
463,4435.000,565.000
464,153.000,4847.000
465,100.000,4900.000
466,26117.000,21117.000
467,216.000,4784.000
468,205.000,4795.000
469,101.000,4899.000
470,128.000,4872.000
471,90.000,4910.000
472,16409.000,11409.000
473,837.000,4163.000
474,143.000,4857.000
475,2804.000,2196.000
476,12077.000,7077.000
477,154.000,4846.000
478,86.000,4914.000
479,30233.000,25233.000
480,503.000,4497.000
481,107.000,4893.000
482,101.000,4899.000
483,102.000,4898.000
484,100.000,4900.000
485,29606.000,24606.000
486,154.000,4846.000
487,96.000,4904.000
488,94.000,4906.000
489,95.000,4905.000
490,145.000,4855.000
491,16457.000,11457.000
492,143.000,4857.000
493,80.000,4920.000
494,15050.000,10050.000
495,150.000,4850.000
496,92.000,4908.000
497,16358.000,11358.000
498,164.000,4836.000
499,91.000,4909.000
500,80.000,4920.000
501,27418.000,22418.000
502,178.000,4822.000
503,84.000,4916.000
504,80.000,4920.000
505,503.000,4497.000
506,15981.000,10981.000
507,145.000,4855.000
508,84.000,4916.000
509,76.000,4924.000
510,15131.000,10131.000
511,191.000,4809.000
512,13493.000,8493.000
513,142.000,4858.000
514,101.000,4899.000
515,17146.000,12146.000
516,960.000,4040.000
517,799.000,4201.000
518,11383.000,6383.000
519,138.000,4862.000
520,110.000,4890.000
521,15442.000,10442.000
522,156.000,4844.000
523,104.000,4896.000
524,95.000,4905.000
525,16620.000,11620.000
526,136.000,4864.000
527,83.000,4917.000
528,13838.000,8838.000
529,172.000,4828.000
530,89.000,4911.000
531,29553.000,24553.000
532,193.000,4807.000
533,139.000,4861.000
534,227.000,4773.000
535,98.000,4902.000
536,91.000,4909.000
537,30403.000,25403.000
538,132.000,4868.000
539,181.000,4819.000
540,206.000,4794.000
541,106.000,4894.000
542,110.000,4890.000
543,30160.000,25160.000
544,158.000,4842.000
545,115.000,4885.000
546,94.000,4906.000
547,87.000,4913.000
548,81.000,4919.000
549,15530.000,10530.000
550,149.000,4851.000
551,79.000,4921.000
552,2199.000,2801.000
553,26163.000,21163.000
554,292.000,4708.000
555,109.000,4891.000
556,93.000,4907.000
557,88.000,4912.000
558,14558.000,9558.000
559,249.000,4751.000
560,374.000,4626.000
561,30073.000,25073.000
562,147.000,4853.000
563,92.000,4908.000
564,90.000,4910.000
565,365.000,4635.000
566,588.000,4412.000
567,14996.000,9996.000
568,227.000,4773.000
569,107.000,4893.000
570,73.000,4927.000
571,14826.000,9826.000
572,167.000,4833.000
573,126.000,4874.000
574,18698.000,13698.000
575,138.000,4862.000
576,98.000,4902.000
577,11558.000,6558.000
578,286.000,4714.000
579,246.000,4754.000
580,31619.000,26619.000
581,168.000,4832.000
582,82.000,4918.000
583,88.000,4912.000
584,95.000,4905.000
585,83.000,4917.000
586,30438.000,25438.000
587,323.000,4677.000
588,85.000,4915.000
589,76.000,4924.000
590,70.000,4930.000
591,196.000,4804.000
592,13786.000,8786.000
593,2664.000,2336.000
594,100.000,4900.000
595,22013.000,17013.000
596,144.000,4856.000
597,78.000,4922.000
598,70.000,4930.000
599,199.000,4801.000
600,16317.000,11317.000
601,155.000,4845.000
602,88.000,4912.000
603,1234.000,3766.000
604,19921.000,14921.000
605,156.000,4844.000
606,89.000,4911.000
607,69.000,4931.000
608,27187.000,22187.000
609,254.000,4746.000
610,3903.000,1097.000
611,1198.000,3802.000
612,547.000,4453.000
613,81.000,4919.000
614,12532.000,7532.000
615,170.000,4830.000
616,81.000,4919.000
617,2840.000,2160.000
618,11035.000,6035.000
619,231.000,4769.000
620,15780.000,10780.000
621,232.000,4768.000
622,87.000,4913.000
623,15567.000,10567.000
624,173.000,4827.000
625,99.000,4901.000
626,14599.000,9599.000
627,128.000,4872.000
628,105.000,4895.000
629,15182.000,10182.000
630,207.000,4793.000
631,81.000,4919.000
632,16119.000,11119.000
633,163.000,4837.000
634,91.000,4909.000
635,79.000,4921.000
636,28679.000,23679.000
637,203.000,4797.000
638,150.000,4850.000
639,94.000,4906.000
640,85.000,4915.000
641,15974.000,10974.000
642,222.000,4778.000
643,98.000,4902.000
644,98.000,4902.000
645,29792.000,24792.000
646,138.000,4862.000
647,75.000,4925.000
648,74.000,4926.000
649,74.000,4926.000
650,77.000,4923.000
651,15231.000,10231.000
652,14617.000,9617.000
653,199.000,4801.000
654,15901.000,10901.000
655,241.000,4759.000
656,109.000,4891.000
657,93.000,4907.000
658,74.000,4926.000
659,91.000,4909.000
660,17266.000,12266.000
661,183.000,4817.000
