frame,t1_theoretical_us,t2_ack_software_us,ack,checksum_aceito_pelo_parser
0,868.0555555555555,22705.8,True,True
1,868.0555555555555,29971.6,True,True
2,868.0555555555555,18398.2,True,True
3,868.0555555555555,15876.3,True,True
4,868.0555555555555,12030.6,True,True
5,868.0555555555555,11883.8,True,True
6,868.0555555555555,6993.9,True,True
7,868.0555555555555,17384.6,True,True
8,868.0555555555555,43845.2,True,True
9,868.0555555555555,8296.0,True,True
10,868.0555555555555,7737.2,True,True
11,868.0555555555555,3334.2,True,True
12,868.0555555555555,2860.7,True,True
13,868.0555555555555,9290.7,True,True
14,868.0555555555555,4287.8,True,True
15,868.0555555555555,7003.1,True,True
16,868.0555555555555,3886.3,True,True
17,868.0555555555555,2899.5,True,True
18,868.0555555555555,3371.7,True,True
19,868.0555555555555,4095.1,True,True
20,868.0555555555555,4488.4,True,True
21,868.0555555555555,2882.2,True,True
22,868.0555555555555,6409.9,True,True
23,868.0555555555555,11618.3,True,True
24,868.0555555555555,20692.8,True,True
25,868.0555555555555,22019.1,True,True
26,868.0555555555555,12781.2,True,True
27,868.0555555555555,10437.0,True,True
28,868.0555555555555,4994.8,True,True
29,868.0555555555555,27873.7,True,True
30,868.0555555555555,10020.9,True,True
31,868.0555555555555,8849.1,True,True
32,868.0555555555555,13352.2,True,True
33,868.0555555555555,20476.7,True,True
34,868.0555555555555,17463.8,True,True
35,868.0555555555555,9238.6,True,True
36,868.0555555555555,21290.4,True,True
37,868.0555555555555,55493.2,True,True
38,868.0555555555555,6435.7,True,True
39,868.0555555555555,11119.9,True,True
40,868.0555555555555,6752.4,True,True
41,868.0555555555555,12422.1,True,True
42,868.0555555555555,18315.0,True,True
43,868.0555555555555,4545.5,True,True
44,868.0555555555555,20184.8,True,True
45,868.0555555555555,5557.9,True,True
46,868.0555555555555,11026.7,True,True
47,868.0555555555555,15332.0,True,True
48,868.0555555555555,22240.6,True,True
49,868.0555555555555,13244.6,True,True
50,868.0555555555555,12931.8,True,True
51,868.0555555555555,7818.8,True,True
52,868.0555555555555,7489.9,True,True
53,868.0555555555555,8614.0,True,True
54,868.0555555555555,16003.5,True,True
55,868.0555555555555,4819.3,True,True
56,868.0555555555555,16183.1,True,True
57,868.0555555555555,15613.8,True,True
58,868.0555555555555,13557.5,True,True
59,868.0555555555555,5244.4,True,True
60,868.0555555555555,10108.7,True,True
61,868.0555555555555,6547.9,True,True
62,868.0555555555555,4303.8,True,True
63,868.0555555555555,3393.4,True,True
64,868.0555555555555,23319.7,True,True
65,868.0555555555555,11211.0,True,True
66,868.0555555555555,6519.2,True,True
67,868.0555555555555,16794.6,True,True
68,868.0555555555555,7230.4,True,True
69,868.0555555555555,9476.0,True,True
70,868.0555555555555,6913.6,True,True
71,868.0555555555555,5913.9,True,True
72,868.0555555555555,7820.0,True,True
73,868.0555555555555,5642.5,True,True
74,868.0555555555555,4730.0,True,True
75,868.0555555555555,16490.0,True,True
76,868.0555555555555,19023.3,True,True
77,868.0555555555555,6850.0,True,True
78,868.0555555555555,3661.2,True,True
79,868.0555555555555,3704.1,True,True
80,868.0555555555555,3724.0,True,True
81,868.0555555555555,4033.9,True,True
82,868.0555555555555,3996.6,True,True
83,868.0555555555555,7731.9,True,True
84,868.0555555555555,5652.6,True,True
85,868.0555555555555,3139.8,True,True
86,868.0555555555555,4202.0,True,True
87,868.0555555555555,6322.8,True,True
88,868.0555555555555,9604.5,True,True
89,868.0555555555555,13592.0,True,True
90,868.0555555555555,15510.6,True,True
91,868.0555555555555,6167.0,True,True
92,868.0555555555555,6277.7,True,True
93,868.0555555555555,7009.5,True,True
94,868.0555555555555,24461.9,True,True
95,868.0555555555555,5469.3,True,True
96,868.0555555555555,5099.3,True,True
97,868.0555555555555,13316.3,True,True
98,868.0555555555555,5713.1,True,True
99,868.0555555555555,17725.9,True,True
