t,steps_j4,steps_j5,steps_j6,deg_j6_cmd,enc_j6_raw,enc_valid
0.0015,0,0,0,0.000,0,0
0.0229,0,0,0,0.000,0,0
0.0431,0,0,0,0.000,0,0
0.0638,0,0,0,0.000,0,0
0.0844,0,0,0,0.000,0,0
0.1049,0,0,0,0.000,0,0
0.1254,0,0,0,0.000,0,0
0.1460,0,0,0,0.000,0,0
0.1698,0,0,0,0.000,0,0
0.1906,0,0,0,0.000,0,0
0.2110,0,0,0,0.000,0,0
0.2315,0,0,0,0.000,0,0
0.2520,0,0,0,0.000,0,0
0.2730,0,0,0,0.000,0,0
0.2932,0,0,0,0.000,0,0
0.3137,0,0,0,0.000,0,0
0.3341,0,0,0,0.000,0,0
0.3547,0,0,0,0.000,0,0
0.3749,0,0,0,0.000,0,0
0.3953,0,0,0,0.000,0,0
0.4158,0,0,0,0.000,0,0
0.4360,0,0,0,0.000,0,0
0.4566,0,0,0,0.000,0,0
0.4814,0,0,0,0.000,0,0
0.5017,0,0,0,0.000,0,0
0.5221,0,0,0,0.000,0,0
0.5423,0,0,0,0.000,0,0
0.5625,0,0,0,0.000,0,0
0.5828,0,0,0,0.000,0,0
0.6032,0,0,0,0.000,0,0
0.6234,0,0,0,0.000,0,0
0.6435,0,0,0,0.000,0,0
0.6644,0,0,0,0.000,0,0
0.6847,0,0,0,0.000,0,0
0.7055,0,0,0,0.000,0,0
0.7258,0,0,0,0.000,0,0
0.7461,0,0,0,0.000,0,0
0.7672,0,0,0,0.000,0,0
0.7882,0,0,0,0.000,0,0
0.8084,0,0,0,0.000,0,0
0.8288,0,0,0,0.000,0,0
0.8490,0,0,0,0.000,0,0
0.8703,0,0,0,0.000,0,0
0.8908,0,0,0,0.000,0,0
0.9116,0,0,0,0.000,0,0
0.9320,0,0,0,0.000,0,0
0.9526,0,0,0,0.000,0,0
0.9734,0,0,0,0.000,0,0
0.9940,0,0,0,0.000,0,0
1.0146,0,0,0,0.000,0,0
1.0354,0,0,0,0.000,0,0
1.0556,0,0,0,0.000,0,0
1.0758,0,0,0,0.000,0,0
1.0960,0,0,0,0.000,0,0
1.1162,0,0,0,0.000,0,0
1.1364,0,0,0,0.000,0,0
1.1567,0,0,0,0.000,0,0
1.1772,0,0,0,0.000,0,0
1.1978,0,0,0,0.000,0,0
1.2181,0,0,0,0.000,0,0
1.2384,0,0,0,0.000,0,0
1.2588,0,0,0,0.000,0,0
1.2796,0,0,0,0.000,0,0
1.2998,0,0,0,0.000,0,0
1.3203,0,0,0,0.000,0,0
1.3420,0,0,0,0.000,0,0
1.3625,0,0,0,0.000,0,0
1.3828,0,0,0,0.000,0,0
1.4032,0,0,0,0.000,0,0
1.4240,0,0,0,0.000,0,0
1.4442,0,0,0,0.000,0,0
1.4648,0,0,0,0.000,0,0
1.4855,0,0,0,0.000,0,0
1.5059,0,0,0,0.000,0,0
1.5264,0,0,0,0.000,0,0
1.5472,0,0,0,0.000,0,0
1.5674,0,0,0,0.000,0,0
1.5878,0,0,0,0.000,0,0
1.6084,0,0,0,0.000,0,0
1.6286,0,0,0,0.000,0,0
1.6495,0,0,0,0.000,0,0
1.6700,0,0,0,0.000,0,0
1.6908,0,0,0,0.000,0,0
1.7111,0,0,0,0.000,0,0
1.7313,0,0,0,0.000,0,0
1.7515,0,0,0,0.000,0,0
1.7718,0,0,0,0.000,0,0
1.7919,0,0,0,0.000,0,0
1.8125,0,0,0,0.000,0,0
1.8330,0,0,0,0.000,0,0
1.8533,0,0,0,0.000,0,0
1.8735,0,0,0,0.000,0,0
1.8950,0,0,0,0.000,0,0
1.9156,0,0,0,0.000,0,0
1.9372,0,0,0,0.000,0,0
1.9578,0,0,0,0.000,0,0
1.9781,0,0,0,0.000,0,0
1.9988,0,0,0,0.000,0,0
2.0191,0,0,0,0.000,0,0
2.0396,0,0,0,0.000,0,0
2.0600,0,0,0,0.000,0,0
2.0807,0,0,0,0.000,0,0
2.1012,0,0,0,0.000,0,0
2.1218,0,0,0,0.000,0,0
2.1419,0,0,0,0.000,0,0
2.1624,0,0,0,0.000,0,0
2.1833,0,0,0,0.000,0,0
2.2104,0,0,0,0.000,0,0
2.2316,0,0,0,0.000,0,0
2.2518,0,0,0,0.000,0,0
2.2724,0,0,0,0.000,0,0
2.2926,0,0,0,0.000,0,0
2.3129,0,0,0,0.000,0,0
