trajetoria,run,waypoint,junta,no,comandado_deg,atingido_deg,erro_abs_deg
linear_x,1,0,J1,QEMU_ESP32,0.0,0.0,0.0
linear_x,1,0,J2,QEMU_ESP32,0.0,0.0,0.0
linear_x,1,0,J3,QEMU_ESP32,0.0,0.0,0.0
linear_x,1,0,J4,simavr_UNO,0.0,0.0,0.0
linear_x,1,0,J5,simavr_UNO,0.0,0.0,0.0
linear_x,1,0,J6,simavr_UNO,0.0,0.0,0.0
linear_x,1,1,J1,QEMU_ESP32,30.0,29.700018,0.299982
linear_x,1,1,J2,QEMU_ESP32,10.0,9.899998,0.100002
linear_x,1,1,J3,QEMU_ESP32,5.0,4.95,0.05
linear_x,1,1,J4,simavr_UNO,0.0,0.0,0.0
linear_x,1,1,J5,simavr_UNO,0.0,0.0,0.0
linear_x,1,1,J6,simavr_UNO,0.0,0.0,0.0
linear_x,1,2,J1,QEMU_ESP32,0.0,0.45,0.45
linear_x,1,2,J2,QEMU_ESP32,0.0,0.45,0.45
linear_x,1,2,J3,QEMU_ESP32,0.0,0.45,0.45
linear_x,1,2,J4,simavr_UNO,0.0,0.0,0.0
linear_x,1,2,J5,simavr_UNO,0.0,0.0,0.0
linear_x,1,2,J6,simavr_UNO,0.0,0.0,0.0
linear_x,1,3,J1,QEMU_ESP32,30.0,29.700018,0.299982
linear_x,1,3,J2,QEMU_ESP32,10.0,9.899998,0.100002
linear_x,1,3,J3,QEMU_ESP32,5.0,4.95,0.05
linear_x,1,3,J4,simavr_UNO,0.0,0.0,0.0
linear_x,1,3,J5,simavr_UNO,0.0,0.0,0.0
linear_x,1,3,J6,simavr_UNO,0.0,0.0,0.0
linear_x,1,4,J1,QEMU_ESP32,0.0,0.45,0.45
linear_x,1,4,J2,QEMU_ESP32,0.0,0.45,0.45
linear_x,1,4,J3,QEMU_ESP32,0.0,0.45,0.45
linear_x,1,4,J4,simavr_UNO,0.0,0.0,0.0
linear_x,1,4,J5,simavr_UNO,0.0,0.0,0.0
linear_x,1,4,J6,simavr_UNO,0.0,0.0,0.0
linear_x,1,5,J1,QEMU_ESP32,30.0,29.700018,0.299982
linear_x,1,5,J2,QEMU_ESP32,10.0,9.899998,0.100002
linear_x,1,5,J3,QEMU_ESP32,5.0,4.95,0.05
linear_x,1,5,J4,simavr_UNO,0.0,0.0,0.0
linear_x,1,5,J5,simavr_UNO,0.0,0.0,0.0
linear_x,1,5,J6,simavr_UNO,0.0,0.0,0.0
linear_x,1,6,J1,QEMU_ESP32,0.0,0.45,0.45
linear_x,1,6,J2,QEMU_ESP32,0.0,0.45,0.45
linear_x,1,6,J3,QEMU_ESP32,0.0,0.45,0.45
linear_x,1,6,J4,simavr_UNO,0.0,0.0,0.0
linear_x,1,6,J5,simavr_UNO,0.0,0.0,0.0
linear_x,1,6,J6,simavr_UNO,0.0,0.0,0.0
linear_x,2,0,J1,QEMU_ESP32,0.0,0.0,0.0
linear_x,2,0,J2,QEMU_ESP32,0.0,0.0,0.0
linear_x,2,0,J3,QEMU_ESP32,0.0,0.0,0.0
linear_x,2,0,J4,simavr_UNO,0.0,0.0,0.0
