trajetoria,waypoint,junta,no,n_runs,min_deg,max_deg,spread_deg
linear_x,0,J1,QEMU_ESP32,3,0.0,0.0,0.0
linear_x,0,J2,QEMU_ESP32,3,0.0,0.0,0.0
linear_x,0,J3,QEMU_ESP32,3,0.0,0.0,0.0
linear_x,0,J4,simavr_UNO,3,0.0,0.0,0.0
linear_x,0,J5,simavr_UNO,3,0.0,0.0,0.0
linear_x,0,J6,simavr_UNO,3,0.0,0.0,0.0
linear_x,1,J1,QEMU_ESP32,3,29.700018,29.700018,0.0
linear_x,1,J2,QEMU_ESP32,3,9.899998,9.899998,0.0
linear_x,1,J3,QEMU_ESP32,3,4.95,4.95,0.0
linear_x,1,J4,simavr_UNO,3,0.0,0.0,0.0
linear_x,1,J5,simavr_UNO,3,0.0,0.0,0.0
linear_x,1,J6,simavr_UNO,3,0.0,0.0,0.0
linear_x,2,J1,QEMU_ESP32,3,0.45,0.45,0.0
linear_x,2,J2,QEMU_ESP32,3,0.45,0.45,0.0
linear_x,2,J3,QEMU_ESP32,3,0.45,0.45,0.0
linear_x,2,J4,simavr_UNO,3,0.0,0.0,0.0
linear_x,2,J5,simavr_UNO,3,0.0,0.0,0.0
linear_x,2,J6,simavr_UNO,3,0.0,0.0,0.0
linear_x,3,J1,QEMU_ESP32,3,29.700018,29.700018,0.0
linear_x,3,J2,QEMU_ESP32,3,9.899998,9.899998,0.0
linear_x,3,J3,QEMU_ESP32,3,4.95,4.95,0.0
linear_x,3,J4,simavr_UNO,3,0.0,0.0,0.0
linear_x,3,J5,simavr_UNO,3,0.0,0.0,0.0
linear_x,3,J6,simavr_UNO,3,0.0,0.0,0.0
linear_x,4,J1,QEMU_ESP32,3,0.45,0.45,0.0
linear_x,4,J2,QEMU_ESP32,3,0.45,0.45,0.0
linear_x,4,J3,QEMU_ESP32,3,0.45,0.45,0.0
linear_x,4,J4,simavr_UNO,3,0.0,0.0,0.0
linear_x,4,J5,simavr_UNO,3,0.0,0.0,0.0
linear_x,4,J6,simavr_UNO,3,0.0,0.0,0.0
linear_x,5,J1,QEMU_ESP32,3,29.700018,29.700018,0.0
linear_x,5,J2,QEMU_ESP32,3,9.899998,9.899998,0.0
linear_x,5,J3,QEMU_ESP32,3,4.95,4.95,0.0
linear_x,5,J4,simavr_UNO,3,0.0,0.0,0.0
linear_x,5,J5,simavr_UNO,3,0.0,0.0,0.0
linear_x,5,J6,simavr_UNO,3,0.0,0.0,0.0
linear_x,6,J1,QEMU_ESP32,3,0.0,0.45,0.45
linear_x,6,J2,QEMU_ESP32,3,0.0,0.45,0.45
linear_x,6,J3,QEMU_ESP32,3,0.0,0.45,0.45
linear_x,6,J4,simavr_UNO,3,0.0,0.0,0.0
linear_x,6,J5,simavr_UNO,3,0.0,0.0,0.0
