trajetoria,junta,no,n_amostras_assentadas,erro_abs_medio_deg,erro_abs_max_deg,spread_max_deg
linear_x,J1,QEMU_ESP32,21,0.299992,0.45,0.45
linear_x,J2,QEMU_ESP32,21,0.214287,0.45,0.45
linear_x,J3,QEMU_ESP32,21,0.192857,0.45,0.45
linear_x,J4,simavr_UNO,21,0.0,0.0,0.0
linear_x,J5,simavr_UNO,21,0.0,0.0,0.0
linear_x,J6,simavr_UNO,21,0.0,0.0,0.0
circular_multijoint,J1,QEMU_ESP32,49,0.184094,0.461661,0.495676
circular_multijoint,J2,QEMU_ESP32,49,0.146709,0.256604,0.0
circular_multijoint,J3,QEMU_ESP32,49,0.208647,0.464062,0.464062
circular_multijoint,J4,simavr_UNO,49,0.137903,0.71138,0.0
circular_multijoint,J5,simavr_UNO,49,0.144018,0.30349,0.0
circular_multijoint,J6,simavr_UNO,49,0.0,0.0,0.0
pick_and_place,J1,QEMU_ESP32,16,0.124999,0.199999,0.0
pick_and_place,J2,QEMU_ESP32,16,0.140618,0.45,0.0
pick_and_place,J3,QEMU_ESP32,16,0.140618,0.45,0.0
pick_and_place,J4,simavr_UNO,16,0.0,0.0,0.0
pick_and_place,J5,simavr_UNO,16,0.0,0.0,0.0
pick_and_place,J6,simavr_UNO,16,0.0,0.0,0.0
