trajetoria,junta,no,alvo_medio_deg,precisao_media_deg,precisao_max_deg,overshoot_medio_deg,spread_max_deg,t_settle_medio_s
linear_x,J1,QEMU_ESP32,30.000,0.321,0.489,30.000,0.158,14.1838
linear_x,J2,QEMU_ESP32,10.000,0.236,0.450,10.000,0.056,14.1838
linear_x,J3,QEMU_ESP32,5.000,0.214,0.450,5.000,0.028,14.1838
linear_x,J4,simavr_UNO,n.m.,0.000,0.000,n.m.,0.000,n.m.
linear_x,J5,simavr_UNO,n.m.,0.000,0.000,n.m.,0.000,n.m.
linear_x,J6,simavr_UNO,n.m.,0.000,0.000,n.m.,0.000,n.m.
circular_multijoint,J1,QEMU_ESP32,20.118,0.232,0.497,22.008,0.777,19.8959
circular_multijoint,J2,QEMU_ESP32,12.071,0.150,0.257,12.059,0.450,20.5801
circular_multijoint,J3,QEMU_ESP32,8.047,0.219,0.464,8.356,0.464,19.9467
circular_multijoint,J4,simavr_UNO,16.095,0.121,0.225,9.318,0.176,20.5801
circular_multijoint,J5,simavr_UNO,8.047,0.156,0.303,4.952,0.000,19.8959
circular_multijoint,J6,simavr_UNO,n.m.,0.000,0.000,n.m.,0.000,n.m.
pick_and_place,J1,QEMU_ESP32,20.000,0.120,0.200,16.731,0.000,15.2329
pick_and_place,J2,QEMU_ESP32,30.000,0.120,0.300,22.375,0.000,10.9315
pick_and_place,J3,QEMU_ESP32,30.000,0.120,0.300,31.007,0.000,10.9315
pick_and_place,J4,simavr_UNO,n.m.,0.000,0.000,n.m.,0.000,n.m.
pick_and_place,J5,simavr_UNO,n.m.,0.000,0.000,n.m.,0.000,n.m.
pick_and_place,J6,simavr_UNO,45.000,0.457,2.285,15.000,0.000,15.4112
